id,code,name,asset_class,timezone,created_at
1,HOSE,Sở Giao dịch Chứng khoán TP.HCM,stock,Asia/Ho_Chi_Minh,2026-06-09 05:43:30.861110+00:00
2,BINANCE,Binance Cryptocurrency Exchange,crypto,UTC,2026-06-09 05:43:30.861110+00:00
