dataset_version,snapshot_name,test_manifest_sha256,symbol,timeframe,model,split,n_samples,mae,rmse,mape_pct,directional_accuracy,naive_mae,naive_rmse,naive_mape_pct,naive_directional_accuracy,improvement_vs_naive_rmse_pct,run_id,seed,status
group_dataset_v1,ohlcv_full_current,f5fce31e7826dab523bc954a07f66dcba4529297a0b604e1fa0605a4e5816e79,VNM,1d,random_forest,test,78,0.5561075151447513,0.912325257548158,0.9470699247262996,0.5256410256410257,0.5487179487179488,0.8614061253674211,0.9354847975115768,0.0641025641025641,-5.911164395193715,8896c612e44845aab5b0bd949b4dc839,42,preliminary
group_dataset_v1,ohlcv_full_current,f5fce31e7826dab523bc954a07f66dcba4529297a0b604e1fa0605a4e5816e79,VNM,1d,gru,test,78,0.5423481638920612,0.8575482938241398,0.9244313242604888,0.5512820512820513,0.5487179487179488,0.8614061253674211,0.9354847975115768,0.0641025641025641,0.4478528106165761,f276d5c3ac9145d3a836f2899c06c15b,42,preliminary
group_dataset_v1,ohlcv_full_current,bf2993aa00b8b96ce9d72302579a3495cf40d33c1f04e87f342fbcc018936035,BTCUSDT,1d,arima,test,109,1079.68534536565,1389.3987580368205,1.5255227385393886,0.4495412844036697,1077.6804587155962,1386.2685102289147,1.5224506273225045,0.0,-0.2258038601330317,fd199910b4dc4ba1950860a1218a7d50,42,preliminary
group_dataset_v1,ohlcv_full_current,bf2993aa00b8b96ce9d72302579a3495cf40d33c1f04e87f342fbcc018936035,BTCUSDT,1d,xgboost,test,109,4226.007849770643,5026.328551684823,5.949209775268669,0.4311926605504587,1077.6804587155962,1386.2685102289147,1.5224506273225045,0.0,-262.5797249664731,6781820db689461c8597278baafd1d77,42,preliminary
group_dataset_v1,ohlcv_full_current,bf2993aa00b8b96ce9d72302579a3495cf40d33c1f04e87f342fbcc018936035,BTCUSDT,1d,random_forest,test,109,3507.45155772092,4334.879459621713,4.992216545071903,0.4311926605504587,1077.6804587155962,1386.2685102289147,1.5224506273225045,0.0,-212.701286052144,54daf7b70ffe4b7d969719ef2c682b22,42,preliminary
group_dataset_v1,ohlcv_full_current,bf2993aa00b8b96ce9d72302579a3495cf40d33c1f04e87f342fbcc018936035,BTCUSDT,1d,gru,test,109,1108.0298792949595,1433.40093214509,1.572806266362289,0.4770642201834862,1077.6804587155962,1386.2685102289147,1.5224506273225045,0.0,-3.399948968644786,5d74f7ebfd5d45b5b59446c7d5d5adda,42,preliminary
group_dataset_v1,ohlcv_full_current,e5c6a190973a94662f1385e87918fcc5cedb0b2c9cbb0632ff145fd49139c8eb,ETHUSDT,1d,arima,test,109,43.65062505438132,58.74811185664731,2.134237153556388,0.4587155963302752,41.17642201834864,56.48209526319912,2.014474792122365,0.0,-4.01192020743716,78566d190ed540b080c60fb969272a7c,42,preliminary
group_dataset_v1,ohlcv_full_current,e5c6a190973a94662f1385e87918fcc5cedb0b2c9cbb0632ff145fd49139c8eb,ETHUSDT,1d,xgboost,test,109,149.8206434561353,169.6202719595878,7.158168717125293,0.4862385321100917,41.17642201834864,56.48209526319912,2.014474792122365,0.0,-200.30803774041965,6fe134ebe65a49e7b39cf4719a616eae,42,preliminary
group_dataset_v1,ohlcv_full_current,e5c6a190973a94662f1385e87918fcc5cedb0b2c9cbb0632ff145fd49139c8eb,ETHUSDT,1d,random_forest,test,109,80.36304610208018,97.10609095674133,3.939064239298383,0.4495412844036697,41.17642201834864,56.48209526319912,2.014474792122365,0.0,-71.923669800562,fb3a4b81ae12480f8ba08aa94a231699,42,preliminary
group_dataset_v1,ohlcv_full_current,e5c6a190973a94662f1385e87918fcc5cedb0b2c9cbb0632ff145fd49139c8eb,ETHUSDT,1d,gru,test,109,43.0672876278325,58.01517332306696,2.1257364334830404,0.4770642201834862,41.17642201834864,56.48209526319912,2.014474792122365,0.0,-2.714272642903736,ca2ce97f49474340892885f0e3be1570,42,preliminary
